platform_id,game_id,champion_id,queue,season,summoner_timestamp,role,lane,summoner_id
NA1,3599217886,142,420,13,2020-10-01 21:39:20.064,DUO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3599252290,131,420,13,2020-10-01 21:02:15.019,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3599260270,131,420,13,2020-10-01 20:49:50.509,DUO,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3598151605,131,420,13,2020-09-30 20:29:23.575,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3598026388,142,420,13,2020-09-30 19:38:32.875,DUO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3597899684,142,420,13,2020-09-30 16:39:59.479,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3597906149,131,420,13,2020-09-30 15:55:33.353,SOLO,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3597913089,131,420,13,2020-09-30 15:15:23.409,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3596461772,142,420,13,2020-09-29 14:10:58.192,DUO,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3595966497,142,440,13,2020-09-29 03:05:22.296,DUO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3595309924,131,420,13,2020-09-28 21:17:49.003,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3595265159,131,420,13,2020-09-28 20:41:56.029,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3595218984,131,420,13,2020-09-28 19:59:26.050,DUO,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3584246232,131,440,13,2020-09-21 03:45:53.628,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3584281793,142,440,13,2020-09-21 03:24:51.261,DUO_SUPPORT,NONE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3584214655,131,440,13,2020-09-21 02:49:15.189,SOLO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3583744160,131,420,13,2020-09-20 20:52:20.976,DUO,MID,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3583709425,131,420,13,2020-09-20 20:22:46.786,DUO,TOP,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
NA1,3583714399,142,420,13,2020-09-20 19:47:07.012,NONE,JUNGLE,_cabepNWPKIFoRr02pj7u1cMfI7UB-OwiBGR_anf6ycZ-xVa
